country,country_code_2_digit,country_code_3_digit,population,reported_date,confirmed_cases_count,deaths_count,source
Armenia,AM,ARM,2963234,2020-09-16,150,,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-04-12,67,,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-07-25,,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-03-20,,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-09-26,,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-05-08,,0,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-08-19,316,,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-08-17,,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-10-05,168,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-05-04,2,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-08-28,0,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-03-21,22,,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-09-14,23,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-02-06,0,0,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-05-13,,107,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-01-15,0,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-06-19,24,,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-03-30,1815,,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-04-29,2091,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-04-25,,7,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-10-22,,191,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-02-23,0,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-03-01,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-10-14,4,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-03-12,0,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-10-14,,1,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-07-02,182,,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-09-01,0,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-07-15,233,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-02-03,0,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-08-13,,43,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-07-17,,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-05-08,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-06-28,64,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-03-21,,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-09-12,,6,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-09-23,,1,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-05-20,4,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-05-18,24,,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-10-17,281,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-09-18,622,,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-10-14,,62,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-01-29,0,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-06-29,9,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-10-09,,2,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-10-07,261,,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-02-13,0,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-05-02,9,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-02-16,0,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-05-03,445,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-10-11,1646,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-03-02,1,,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-04-08,,1105,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-03-12,,0,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-09-16,,20,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-10-24,518,,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-05-04,1670,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-10-01,1146,,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-02-02,0,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-09-05,,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-01-05,0,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-08-07,,3,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-08-06,,1,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-05-13,2,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-06-17,345,,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-06-25,44,,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-03-21,79,,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-06-17,250,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-10-14,8326,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-06-01,0,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-08-24,176,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-09-21,395,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-02-17,0,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-03-15,7,,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-02-29,0,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-03-18,4,,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-01-03,0,0,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-08-19,,1,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-04-22,14,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-01-28,0,0,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-05-12,22,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-04-19,4,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-03-30,35,,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-07-10,0,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-09-14,27404,,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-09-21,,11,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-07-30,,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-09-27,937,,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-04-16,604,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-08-28,0,0,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-06-26,,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-03-23,,27,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-04-19,53,,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-03-12,0,,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-06-07,23,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-08-31,,5,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-05-04,12,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-10-16,104,,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-10-17,,6,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-02-11,0,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-08-11,,1,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-08-27,4,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-10-17,,21,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-08-27,,1,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-06-07,4,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-08-19,,0,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-09-09,,1,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-08-06,1271,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-05-01,,1,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-07-27,,3,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-10-15,0,,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-08-13,,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-02-22,0,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-03-15,,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-08-08,0,,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-06-26,,3,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-07-13,0,,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-08-26,,2,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-03-08,1,,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-03-13,34,,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-04-20,,13,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-04-08,1,,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-06-27,,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-08-05,741,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-08-12,,1,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-03-31,,1,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-03-07,,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-03-06,,0,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-09-01,101,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-08-19,186,,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-06-11,184,,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-04-22,263,,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-05-02,43,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-04-09,329,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-09-16,329,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-07-25,19,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-07-03,12,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-03-24,,1,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-04-02,,727,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-05-27,,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-03-23,5,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-03-08,,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-07-19,4,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-09-29,292,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-09-18,1750,,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-01-21,0,0,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-06-09,,112,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-03-21,,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-01-17,0,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-08-19,,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-05-10,143,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-03-27,,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-03-10,,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-01-08,0,0,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-05-29,5,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-10-23,,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-06-08,,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-06-30,,2,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-01-19,0,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-07-13,59,,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-05-24,,1,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-02-10,0,0,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-03-10,6,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-09-05,,4,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-07-12,,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-09-08,0,,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-10-03,2,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-09-30,134,,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-04-13,464,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-03-07,27,,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-04-04,,1,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-05-25,,35,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-07-17,,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-06-23,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-06-25,,2,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-10-07,,36,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-01-25,0,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-08-13,,3,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-08-30,1,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-09-19,2,,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-04-14,3116,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-06-23,,0,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-09-01,,6,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-03-17,,0,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-02-21,0,0,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-03-01,0,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-09-20,15,,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-01-14,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-08-30,64,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-05-22,6,,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-03-12,15,,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-04-20,,87,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-06-26,1458,,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-08-04,928,,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-01-24,0,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-03-13,32,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-03-17,,1,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-02-02,0,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-08-19,,45,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-02-06,,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-10-16,1186,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-08-12,,2,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-08-01,5482,,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-10-18,0,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-09-05,,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-02-08,0,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-04-16,,0,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-03-29,,4,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-07-13,,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-05-14,933,,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-07-07,,4,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-03-13,22,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-03-31,5,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-10-11,293,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-10-18,,69,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-04-21,12,,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-08-06,0,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-09-13,27,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-06-16,,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-06-20,375,,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-03-07,1,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-04-07,235,,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-06-05,,44,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-03-26,15,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-07-22,,9,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-09-24,152,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-02-20,0,,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-05-26,0,,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-01-30,0,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-07-20,,1,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-07-18,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-06-18,,6,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-08-11,111,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-08-01,,0,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-06-22,,23,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-02-16,0,0,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-04-04,76,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-03-17,86,,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-06-15,,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-08-27,,5,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-01-04,0,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-06-01,248,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-08-05,278,,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-04-27,,1,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-07-29,,4,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-10-04,,6,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-04-21,,194,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-10-10,,1,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-08-16,226,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-10-03,3720,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-07-19,,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-03-23,,2,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-05-14,,9,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-01-09,0,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-02-05,0,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-08-06,,5,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-04-14,,1,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-10-24,,91,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-05-15,35,,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-09-08,2,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-10-05,,0,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-02-17,0,0,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-01-18,0,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-07-31,1,,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-09-28,11123,,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-06-19,6,,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-05-01,846,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-02-26,,0,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-02-12,,0,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-10-08,365,,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-10-07,227,,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-06-17,,3,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-09-10,,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-05-16,,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-10-12,,0,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-09-18,5762,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-09-21,,0,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-03-15,,1,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-09-03,89,,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-10-08,,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-05-11,,26,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-09-19,36,,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-05-14,1,,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-10-07,54,,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-01-19,0,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-05-25,,0,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-09-16,,6,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-01-02,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-04-23,,30,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-02-19,0,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-03-31,0,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-06-10,8,,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-03-12,152,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-01-22,0,0,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-02-15,0,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-10-24,,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-02-17,0,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-01-30,0,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-07-30,,30,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-02-28,0,0,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-07-18,,10,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-10-08,877,,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-07-02,,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-03-20,,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-03-13,9,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-04-28,,2,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-01-29,0,0,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-06-01,,25,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-05-04,,94,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-01-12,0,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-05-08,22,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-02-13,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-09-24,1,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-02-15,0,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-09-23,,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-04-28,,163,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-02-20,,0,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-10-20,7482,,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-04-18,72,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-10-08,0,,"Epidemic intelligence, national daily data"
